title;instructor;schedule;courseno;room;teaching mode;lang;year;term;credits;schedule_time
日本語J5;TAKEDA, Tomoko/TERAI, Hiromi/UGAMOCHI, Ayako/YAMADA, Kyoko;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP015;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
日本語J6;SAKURAGI, Tomomi/OSAKI-WATANABE, Kumiko/UGAMOCHI, Ayako;1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F;JLP016;NO DATA;Face to Face;J;2025;Spring;5;M/08:45-11:25,TU/08:45-11:25,W/08:45-12:50,F/08:45-12:50
日本語J7-A;MIURA, Ayano/INOUE, Shoko/ITO, Mariko/OSAKI-WATANABE, Kumiko;1/M,2/M,1/W,2/W;JLP028;NO DATA;Face to Face;J;2025;Spring;3;M/08:45-11:25,W/08:45-11:25
日本語J7-B;OZAWA, Ikumi/MASUDA, Rika/KUWANO, Sachiko;1/TU,2/TU;JLP029;NO DATA;Face to Face;J;2025;Spring;2;TU/08:45-11:25
上級日本語：論文作成法;INADA, Naoko;4/M,5/M;JLP036;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-16:40
日本語特別教育　漢字1;KUBO, Kazumi;4/M;JLP071;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-15:15
日本語特別教育　漢字2;MIYAMOTO, Mayu;4/M;JLP072;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-15:15
日本語特別教育　漢字3;SAKURAGI, Tomomi;4/M;JLP073;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-15:15
日本語特別教育 2;OZAWA, Ikumi;1/W,2/W,3/W,1/F,2/F,3/F;JLP082;NO DATA;Face to Face;J;2025;Spring;3;W/08:45-12:50,F/08:45-12:50
日本語特別教育 3;KANAYAMA, Yasuko/KOMORI, Yuri/KUWANO, Sachiko;1/W,2/W,3/W,1/F,2/F,3/F;JLP083;NO DATA;Face to Face;J;2025;Spring;3;W/08:45-12:50,F/08:45-12:50
中級日本語学習者のための語彙・漢字1;ITO, Mariko;4/M;JLP086;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-15:15
中級日本語学習者のための語彙・漢字2;KAWAUCHI, Miwa;4/M;JLP087;NO DATA;Face to Face;J;2025;Spring;1;M/14:00-15:15
特別日本語教育入門;SAKATA, Reiko/MIURA, Ayano;5/M;JLP089;NO DATA;Face to Face;J;2025;Spring;1;M/15:25-16:40
Ｘ：キリスト教概論;RO, Johannes Unsok;3/M,3/W,3/F;GEX001;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｈ１：美術の世界;ITO, Aki;3/TU,2/TH,3/TH;GEH002;NO DATA;Face to Face;J;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｈ１：音楽の世界;SATO, Nozomi;*4/M,*4/TH;GEH013;NO DATA;Face to Face;J;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｈ１：文学の世界（フランス文学）;CHIJIIWA, Yasuko;3/M,3/W,3/F;GEH023;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｈ１：文学の世界（日本文学）;SONOYAMA, Senri;3/TU,2/TH,3/TH;GEH025;NO DATA;Face to Face;J;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｈ１：日本伝統芸能の世界;YASUHARA, Makoto;3/M,3/W,3/F;GEH026;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｈ１：哲学の世界;YAJIMA, Naoki;3/M,3/W,3/F;GEH031;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｈ２：言語教育;HANDA, Atsuko/FUJII, Akiko;3/M,3/W,3/F;GEH041;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｈ２：手話の世界;QUAY, Suzanne;3/TU,2/TH,3/TH;GEH044;NO DATA;Face to Face;E;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｈ１: 気候正義;RAVENSCROFT, Claire;*4/M,*4/TH;GEH064;NO DATA;Face to Face;E;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｓ１：経済と経済学;KOO, Ja Seung;3/TU,2/TH,3/TH;GES001;NO DATA;Face to Face;E;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｓ１：国際関係の課題;HASHIMOTO, Naoko;*4/W,*4/F;GES007;NO DATA;Face to Face;J;2025;Spring;3;W/13:20-15:15,F/13:20-15:15
Ｓ１：宗教と国際政治;SHANI, Giorgiandrea;*4/M,*4/TH;GES008;NO DATA;Face to Face;E;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｓ１：政治学（Ａ）;KOO, Yoojin;3/M,3/W,3/F;GES011;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｓ１：憲法への誘い;AKIYAMA, Hajime;5/F,6/F,7/F;GES021;NO DATA;Face to Face;J;2025;Spring;3;F/15:25-19:30
Ｓ１：社会と文化;BROWN, Bernardo Enrique;*4/M,*4/TH;GES026;NO DATA;Face to Face;E;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｓ２：統計情報リテラシー;KANEKO, Takuya;3/M,3/W,3/F;GES039;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｓ２：サービス・ラーニング;KATO, Etsuko/KURONUMA, Atsuko;5/TH,6/TH,(5/SA,6/SA);GES046;NO DATA;Face to Face;J;2025;Spring;3;TH/15:25-18:05,SA/15:25-18:05
Ｓ２：メディアと記号;HONG,  Seung Min;*4/W,*4/F;GES051;NO DATA;Face to Face;E;2025;Spring;3;W/13:20-15:15,F/13:20-15:15
Ｓ２: 通訳の世界;NORMA, Caroline;1/TU,2/TU,3/TU;GES054;NO DATA;Face to Face;E;2025;Spring;3;TU/08:45-12:50
Ｓ２：人間と平和;ARAKAKI, Osamu;3/M,3/W,3/F;GES062;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｓ２：日常生活とジェンダー;MORIKI, Yoshie;*4/M,*4/TH;GES077;NO DATA;Face to Face;J;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｓ２：「３０のモノ」から見る世界の歴史;SALTON, Herman;*4/M,*4/TH;GES095;NO DATA;Face to Face;E;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
Ｎ１：生命科学（Ａ）;HAYAMA, Ryosuke/GOURAUD, Sabine Sandra Stephanie/WANG, Mu-Yun/KOSE, Hiroyuki/AU YEUNG, Wan Kin;2/M,2/W,2/F;GEN001;NO DATA;Face to Face;J;2025;Spring;3;M/10:10-11:25,W/10:10-11:25,F/10:10-11:25
Ｎ１：自然の化学的基礎;KUBO, Kenya/TAKAHASHI, Masashi;3/M,3/W,3/F;GEN013;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｎ１：情報科学概論;OHTA, Keiji/TANAKA, Masayuki/TANAKA, Hiroki;3/TU,2/TH,3/TH;GEN023;NO DATA;Face to Face;J;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｎ２：データサイエンスの考え方;ISHIBASHI, Keisuke/KANAZAWA, Yuichiro;3/TU,2/TH,3/TH;GEN026;I-106;Face to Face;J;2025;Spring;3;TU/11:35-12:50,TH/10:10-12:50
Ｎ２：科学哲学;HIRAI, Masahito;1/TU,2/TU,3/TU;GEN053;NO DATA;Face to Face;J;2025;Spring;3;TU/08:45-12:50
Ｎ２：環境研究;FUJINUMA, Ryosuke/NUNOSHIBA, Tatsuo;3/M,3/W,3/F;GEN054;NO DATA;Face to Face;J;2025;Spring;3;M/11:35-12:50,W/11:35-12:50,F/11:35-12:50
Ｎ２：グローバル・エコシステムと生物学的多様性の視点から見たサステイナビリティー;SASAKI, Takahiro/KITANO, Hiroaki;5/W,6/W,7/W;GEN055;NO DATA;Face to Face;J;2025;Spring;3;W/15:25-19:30
特別講義（A）;IKOMA, Natsumi/MORI, Katsuhiko/YAMAZAKI, Rekishu;*4/M,*4/TH;GEL002;NO DATA;Face to Face;J;2025;Spring;3;M/13:20-15:15,TH/13:20-15:15
健康科学;OGAWA, Tadayuki;5/F;HPE001;PEC1,PEC2;Face to Face;E;2025;Spring;1;F/15:25-16:40
健康科学;TERADA, Kayo;2/F;HPE001;PEC1,PEC2;Face to Face;J;2025;Spring;1;F/10:10-11:25
健康科学;OGAWA, Tadayuki;6/F;HPE001;PEC1,PEC2;Face to Face;E;2025;Spring;1;F/16:50-18:05
健康科学;GORAI, Asuka;3/TU;HPE001;PEC1,PEC2;Face to Face;J;2025;Spring;1;TU/11:35-12:50
健康科学;GORAI, Asuka;3/W;HPE001;PEC1,PEC2;Face to Face;J;2025;Spring;1;W/11:35-12:50
健康科学;SATO, Kaori;3/M;HPE001;PEC1,PEC2;Face to Face;J;2025;Spring;1;M/11:35-12:50
健康科学;SATO, Kaori;2/M;HPE001;PEC1,PEC2;Face to Face;J;2025;Spring;1;M/10:10-11:25
体育理論;TERADA, Kayo;3/F;HPE003;PEC1,PEC2;Face to Face;J;2025;Spring;1;F/11:35-12:50
PE　エクササイズⅠ;HIGASHIYAMA, Masao;5/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/15:25-16:40
PE　エクササイズⅠ;HIGASHIYAMA, Masao;3/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/11:35-12:50
PE　エクササイズⅠ;HASEGAWA, Ken;5/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/15:25-16:40
PE　エクササイズⅠ;HIGASHIYAMA, Masao;6/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/16:50-18:05
PE　エクササイズⅠ;TERADA, Kayo;3/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/11:35-12:50
PE　エクササイズⅠ;HIGASHIYAMA, Masao;2/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/10:10-11:25
PE　エクササイズⅠ;HIGASHIYAMA, Masao;5/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/15:25-16:40
PE　エクササイズⅠ;HASEGAWA, Ken;4/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/14:00-15:15
PE　エクササイズⅠ;SATO, Kaori;3/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/11:35-12:50
PE　エクササイズⅠ;HIGASHIYAMA, Masao;3/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/11:35-12:50
PE　エクササイズⅠ;HIGASHIYAMA, Masao;3/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/11:35-12:50
PE　エクササイズⅠ;HASEGAWA, Ken;2/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/10:10-11:25
PE　エクササイズⅠ;HASEGAWA, Ken;2/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/10:10-11:25
PE　エクササイズⅠ;SATO, Kaori;4/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/14:00-15:15
PE　エクササイズⅠ;HASEGAWA, Ken;4/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/14:00-15:15
PE　エクササイズⅠ;HASEGAWA, Ken;2/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/10:10-11:25
PE　エクササイズⅠ;SATO, Kaori;5/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/15:25-16:40
PE　エクササイズⅠ;HIGASHIYAMA, Masao;3/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/11:35-12:50
PE　エクササイズⅠ;HOKARI, Minako;4/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/14:00-15:15
PE　エクササイズⅠ;KASAI, Hiromi;4/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/14:00-15:15
PE　エクササイズⅠ;KASAI, Hiromi;5/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/15:25-16:40
PE　エクササイズⅠ;HASHIMOTO, Kazuhide;3/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/11:35-12:50
PE　エクササイズⅠ;SATO, Kaori;5/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/15:25-16:40
PE　エクササイズⅠ;TERADA, Kayo;4/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/14:00-15:15
PE　エクササイズⅠ;HASEGAWA, Ken;2/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/10:10-11:25
PE　エクササイズⅠ;SATO, Kaori;3/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/11:35-12:50
PE　エクササイズⅠ;HASHIMOTO, Kazuhide;2/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/10:10-11:25
PE　エクササイズⅠ;HASEGAWA, Ken;5/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/15:25-16:40
PE　エクササイズⅠ;HASEGAWA, Ken;4/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/14:00-15:15
PE　エクササイズⅠ;SATO, Kaori;4/W;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/14:00-15:15
PE　エクササイズⅠ;HIGASHIYAMA, Masao;5/M;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/15:25-16:40
PE　エクササイズⅠ;HIGASHIYAMA, Masao;2/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/10:10-11:25
PE　エクササイズⅠ;HASEGAWA, Ken;5/TU;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/15:25-16:40
PE　エクササイズⅠ;TERADA, Kayo;5/TH;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/15:25-16:40
PE　エクササイズⅢ;TERADA, Kayo;4/W;HPE007;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/14:00-15:15
PE　エクササイズⅢ;TERADA, Kayo;5/W;HPE007;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/15:25-16:40
PE　エクササイズⅢ;SATO, Kaori;4/F;HPE007;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/14:00-15:15
PE　エクササイズⅢ;SATO, Kaori;5/F;HPE007;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/15:25-16:40
ティームスポーツ I;HONDA, Masakazu;5/M;HPE010;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/15:25-16:40
ティームスポーツ I;HONDA, Masakazu;4/M;HPE010;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/14:00-15:15
ティームスポーツ II;OKA, Yoshiro;3/M;HPE011;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/11:35-12:50
ティームスポーツ II;OKA, Yoshiro;2/M;HPE011;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;M/10:10-11:25
初級対人スポーツ;OKADA, Mitsuhiro;2/F;HPE012;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/10:10-11:25
初級対人スポーツ;OKADA, Mitsuhiro;3/F;HPE012;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/11:35-12:50
初級対人スポーツ;SHIRAI, Takumi;2/TU;HPE012;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/10:10-11:25
初級対人スポーツ;SHIRAI, Takumi;1/TU;HPE012;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/08:45-10:00
初級個人スポーツ;HASHIGUCHI, Takeo;5/F;HPE014;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/15:25-16:40
初級個人スポーツ;HASHIGUCHI, Takeo;4/F;HPE014;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/14:00-15:15
初級個人スポーツ;HOKARI, Minako;2/TH;HPE014;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/10:10-11:25
初級個人スポーツ;HOKARI, Minako;3/TH;HPE014;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/11:35-12:50
初級個人試技活動;HIRATA, Tomoko;3/TH;HPE016;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/11:35-12:50
初級個人試技活動;HIRATA, Tomoko;2/TH;HPE016;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/10:10-11:25
初級個人試技活動;NISHITANI, Yoshiko;2/TU;HPE016;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/10:10-11:25
初級個人試技活動;NISHITANI, Yoshiko;1/TU;HPE016;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/08:45-10:00
初級リズムダンス;YOSHINO, Yufuko;3/F;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/11:35-12:50
初級リズムダンス;YOSHINO, Yufuko;2/F;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/10:10-11:25
初級リズムダンス;KAMATSUKA, Masanori;2/TU;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/10:10-11:25
初級リズムダンス;KAMATSUKA, Masanori;3/TU;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/11:35-12:50
初級リズムダンス;SENDA, Tetsushi;3/TU;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/11:35-12:50
初級リズムダンス;SENDA, Tetsushi;2/TU;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TU/10:10-11:25
初級リズムダンス;KASAI, Hiromi;2/W;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/10:10-11:25
初級リズムダンス;KASAI, Hiromi;3/W;HPE021;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;W/11:35-12:50
アダプテッド体育;TERADA, Kayo/HIGASHIYAMA, Masao/SATO, Kaori/HASEGAWA, Ken;NO DATA;HPE024;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;NO DATA
PE　エクササイズⅠ;HOKARI, Minako;5/F;HPE005;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;F/15:25-16:40
PE　エクササイズⅢ;OKA, Yoshiro;3/TH;HPE007;NO DATA;Face to Face;NO DATA;2025;Spring;1/3;TH/11:35-12:50
アラビア語 I;ABUSINNA, Neama Emam Mohamed/KINOSHITA, Sotoku;5/M,6/M,5/W,6/W,5/F,6/F;WAB101;NO DATA;Face to Face;O;2025;Spring;4;M/15:25-18:05,W/15:25-18:05,F/15:25-18:05
中国語 I;KAWASHIMA, Mai/ZHAN, Haiyan;5/M,6/M,7/M,5/F,6/F,7/F;WCN101;I-103;Face to Face;O;2025;Spring;4;M/15:25-19:30,F/15:25-19:30
中国語 I;ZHAN, Haiyan/QI, Hong;1/TU,2/TU,3/TU,1/TH,2/TH,3/TH;WCN101;I-103;Face to Face;O;2025;Spring;4;TU/08:45-12:50,TH/08:45-12:50
中国語 I;QI, Hong/SHI, Huimei;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WCN101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
中国語 I;ZHAN, Haiyan/KAWASHIMA, Mai;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WCN101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
上級中国語 I;QI, Hong;5/TH,6/TH,7/TH;WCN201;NO DATA;Face to Face;O;2025;Spring;3;TH/15:25-19:30
フランス語 I;DAIZEN, Mariko/SHIRAISHI, Yoshiharu;*4/W,*5/W,*4/F,*5/F;WFR101;NO DATA;Face to Face;O;2025;Spring;4;W/13:20-17:20,F/13:20-17:20
フランス語 I;BUREAU, Xavier/BELEC, Cedric;*4/M,*5/M,*4/TH,*5/TH;WFR101;NO DATA;Face to Face;O;2025;Spring;4;M/13:20-17:20,TH/13:20-17:20
フランス語 I;BELEC, Cedric/PIRIOU, Vincent N.;1/TU,2/TU,3/TU,1/TH,2/TH,3/TH;WFR101;NO DATA;Face to Face;O;2025;Spring;4;TU/08:45-12:50,TH/08:45-12:50
フランス語 I;BUREAU, Xavier/DAIZEN, Mariko;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WFR101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
上級フランス語I;DONATI, Jean-Alexis;5/F,6/F,7/F;WFR202;NO DATA;Face to Face;O;2025;Spring;3;F/15:25-19:30
上級フランス語I;BELEC, Cedric;*5/W,*5/F;WFR202;NO DATA;Face to Face;O;2025;Spring;3;W/15:25-17:20,F/15:25-17:20
ドイツ語 I;BACKHAUS, Peter/MINAMI, Harz/ENDO, Kosuke;5/M,6/M,5/W,6/W,5/F,6/F;WGR101;NO DATA;Face to Face;O;2025;Spring;4;M/15:25-18:05,W/15:25-18:05,F/15:25-18:05
ドイツ語 I;BARTSCH, Josua/ENDO, Kosuke;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WGR101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
上級ドイツ語 I;BARTSCH, Josua;5/W,6/W,7/W;WGR201;NO DATA;Face to Face;O;2025;Spring;3;W/15:25-19:30
イタリア語 I;NAKAYA, Shinko/BUCCI, Concettina;5/M,6/M,5/W,6/W,5/F,6/F;WIT101;NO DATA;Face to Face;O;2025;Spring;4;M/15:25-18:05,W/15:25-18:05,F/15:25-18:05
韓国語 I;HANDO, Chizuko/OHE, Hye-Gyeong;*4/M,*5/M,*4/TH,*5/TH;WKR101;NO DATA;Face to Face;O;2025;Spring;4;M/13:20-17:20,TH/13:20-17:20
韓国語 I;KIM, HYUNSHIN/KIM, Myeong-Hee;1/TU,2/TU,3/TU,1/TH,2/TH,3/TH;WKR101;NO DATA;Face to Face;O;2025;Spring;4;TU/08:45-12:50,TH/08:45-12:50
韓国語 I;KIM, Myeong-Hee/HANDO, Chizuko;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WKR101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
韓国語 I;KIM, Sung Eun/OHE, Hye-Gyeong;*4/W,*5/W,*4/F,*5/F;WKR101;NO DATA;Face to Face;O;2025;Spring;4;W/13:20-17:20,F/13:20-17:20
上級韓国語 I;OHE, Hye-Gyeong;5/W,6/W,7/W;WKR201;NO DATA;Face to Face;O;2025;Spring;3;W/15:25-19:30
ロシア語 I;FUKASAWA, Yoko/GOTO, Ksenia;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WRU101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
スペイン語 I;NASU, Madori/QUINTERO GARCIA, Daniel;1/TU,2/TU,3/TU,1/TH,2/TH,3/TH;WSP101;NO DATA;Face to Face;O;2025;Spring;4;TU/08:45-12:50,TH/08:45-12:50
スペイン語 I;ROQUE DE HISHIYAMA, ADIENE SUSEJ/NASU, Madori;*4/M,*5/M,*4/TH,*5/TH;WSP101;NO DATA;Face to Face;O;2025;Spring;4;M/13:20-17:20,TH/13:20-17:20
スペイン語 I;VEGA GONZALEZ, Arturo/QUINTERO GARCIA, Daniel;5/TU,6/TU,7/TU,5/TH,6/TH,7/TH;WSP101;NO DATA;Face to Face;O;2025;Spring;4;TU/15:25-19:30,TH/15:25-19:30
スペイン語 I;QUINTERO GARCIA, Daniel/VEGA GONZALEZ, Arturo;*4/W,*5/W,*4/F,*5/F;WSP101;NO DATA;Face to Face;O;2025;Spring;4;W/13:20-17:20,F/13:20-17:20
上級スペイン語 I;QUINTERO GARCIA, Daniel;5/M,6/M,7/M;WSP201;NO DATA;Face to Face;O;2025;Spring;3;M/15:25-19:30
アカデミック・スキル　海外研修;STAFF;NO DATA;ELG101;NO DATA;Face to Face;E;2025;Spring;3;NO DATA
論文作成　海外研修;STAFF;NO DATA;ELG102;NO DATA;Face to Face;E;2025;Spring;3;NO DATA
